ID,Nama_Barang,Kategori,Stok,Lokasi,Status,Departemen,PIC
161,VSE,FAS,75,WS,available,LG,AN
162,SDC,ELK,32,A2,available,FN,ST
163,MLT,PRK,0,G1,empty,AD,MG
164,MP,FAS,83,M2,broken,AD,RN
165,NT,ATK,8,R2,available,LG,SN
166,SF,FAS,6,A2,broken,HR,AN
167,SCA,ELK,14,R2,borrowed,OP,TK
168,PSU,ELK,56,R4,broken,MK,RN
169,P3K,KES,68,R1,available,GA,AN
170,UPS,ELK,67,R2,borrowed,GA,BD
171,USB,ELK,19,PP,borrowed,CR,ST
172,CPY,ELK,3,SR,borrowed,GA,RN
173,TPD,FAS,0,L1,empty,GA,ST
174,HMR,PRK,97,L2,broken,IT,BD
175,LAN,ELK,59,PP,available,PR,TK
176,MAP,ATK,5,R1,borrowed,MK,ST
177,CAB,ELK,69,G2,borrowed,PR,MG
178,HDD,ELK,42,R2,broken,GA,AG
179,GLS,FAS,72,M1,broken,MK,ED
180,SVR,ELK,0,R3,empty,GA,JN
181,UU,DOK,13,LB,broken,IT,AN
182,KRS,FAS,77,R1,borrowed,HR,ST
183,BRK,FAS,6,R4,available,AD,ST
184,LMP,FAS,43,L1,borrowed,FN,AG
185,SSD,ELK,19,R4,borrowed,GA,AN
186,TST,PRK,76,M1,borrowed,GA,ST
187,CLP,ATK,42,G2,available,PR,BD
188,GLS,FAS,64,G1,available,CR,BD
189,PRJ,ELK,16,G1,broken,GA,RN
190,SP,FAS,91,PP,available,OP,SN
191,BTR,ELK,93,L2,available,OP,AG
192,BIN,FAS,45,M1,borrowed,OP,MG
193,SF,FAS,47,L2,borrowed,LG,ST
194,SPD,ATK,14,LB,available,HR,RN
195,SLD,PRK,0,KL,empty,CR,JN
196,PSU,ELK,74,R3,available,HR,MG
197,WBD,FAS,35,R3,broken,FN,SN
198,SLD,PRK,68,A1,available,MK,RN
199,CSG,ELK,35,KL,available,FN,RN
200,FGR,ELK,64,ST,broken,GA,TK
